         96116814 function calls (96095838 primitive calls) in 44.675 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6814    0.004    0.000    0.031    0.000 __init__.py:280(_compile)
      223    0.009    0.000    0.031    0.000 artist.py:1517(get_setters)
       30    0.014    0.000    0.031    0.001 __init__.py:847(_rc_params_in_file)
        1    0.000    0.000    0.030    0.030 backend_macosx.py:1(<module>)
   260154    0.029    0.000    0.029    0.000 {method 'items' of 'dict' objects}
      572    0.029    0.000    0.029    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.028    0.028 pos_drift_stable_scale_function.py:1(<module>)
        1    0.000    0.000    0.028    0.028 datetime.py:1(<module>)
     5770    0.002    0.000    0.027    0.000 __init__.py:174(search)
        1    0.000    0.000    0.027    0.027 font_manager.py:1(<module>)
      212    0.001    0.000    0.025    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.025    0.025 mathtext.py:1(<module>)
        1    0.000    0.000    0.024    0.024 random_process.py:1(<module>)
   149807    0.023    0.000    0.024    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.024    0.024 category.py:1(<module>)
        1    0.000    0.000    0.023    0.023 random_variable.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _mathtext.py:1(<module>)
      715    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap>:416(__enter__)
   171828    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
      136    0.001    0.000    0.021    0.000 _docstring.py:38(__call__)
  126/115    0.000    0.000    0.021    0.000 _docstring.py:79(__call__)
        2    0.000    0.000    0.021    0.010 core.py:206(read_style_directory)
    99045    0.020    0.000    0.020    0.000 {built-in method numpy.seterrobj}
   307054    0.020    0.000    0.020    0.000 tempered_stable_random_variable.py:55(get_min_jump_size)
      615    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.020    0.020 Image.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _ufunc_config.py:1(<module>)
        1    0.002    0.002    0.019    0.019 lapack.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _parser.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _linprog_ip.py:1(<module>)
   257658    0.019    0.000    0.019    0.000 fromnumeric.py:2172(_sum_dispatcher)
        2    0.001    0.000    0.019    0.009 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.018    0.018 axis.py:1(<module>)
        1    0.000    0.000    0.018    0.018 pathlib.py:1(<module>)
      718    0.001    0.000    0.018    0.000 inspect.py:3325(signature)
        1    0.000    0.000    0.018    0.018 _rotation_groups.py:1(<module>)
        1    0.000    0.000    0.018    0.018 struct.py:1(<module>)
      718    0.000    0.000    0.017    0.000 inspect.py:3067(from_callable)
  802/728    0.003    0.000    0.017    0.000 inspect.py:2463(_signature_from_callable)
        1    0.000    0.000    0.017    0.017 backend_bases.py:2641(__init__)
        1    0.000    0.000    0.017    0.017 geo.py:1(<module>)
       12    0.000    0.000    0.017    0.001 _docstring.py:51(__missing__)
        1    0.016    0.016    0.017    0.017 backend_macosx.py:120(__init__)
        1    0.000    0.000    0.016    0.016 _csr.py:1(<module>)
   198090    0.016    0.000    0.016    0.000 {built-in method numpy.geterrobj}
     2570    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.016    0.016 _internal.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _trustregion_krylov.py:1(<module>)
        1    0.000    0.000    0.016    0.016 art3d.py:1(<module>)
     2584    0.015    0.000    0.015    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.015    0.015 __init__.py:377(_mac_os_check)
        1    0.000    0.000    0.015    0.015 _axes.py:46(Axes)
      456    0.015    0.000    0.015    0.000 {built-in method builtins.dir}
   148512    0.015    0.000    0.015    0.000 tempered_stable_random_variable.py:25(_get_key)
      212    0.001    0.000    0.015    0.000 _parser.py:962(parse)
    49506    0.010    0.000    0.015    0.000 tempered_stable_random_variable.py:28(_get_key_for_precomputed_nu_compensation)
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.014    0.014 shutil.py:1(<module>)
     9940    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
  452/212    0.001    0.000    0.014    0.000 _parser.py:445(_parse_sub)
        1    0.000    0.000    0.014    0.014 polynomial.py:453(polyfit)
  492/213    0.005    0.000    0.014    0.000 _parser.py:505(_parse)
        2    0.000    0.000    0.013    0.007 _basic.py:1(<module>)
        7    0.000    0.000    0.013    0.002 figure.py:1647(gca)
        1    0.000    0.000    0.013    0.013 figure.py:658(add_subplot)
        1    0.000    0.000    0.013    0.013 _base.py:569(__init__)
        1    0.000    0.000    0.013    0.013 _remove_redundancy.py:1(<module>)
    52093    0.010    0.000    0.013    0.000 {built-in method _abc._abc_instancecheck}
        1    0.013    0.013    0.013    0.013 linalg.py:2191(lstsq)
